Level,Date and Time,Source,Event ID,Task Category
Information,4/28/2026 10:30:54 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREA88.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_a31f325b-aff5-42a8-aab2-a0c5f93f1310

Analysis symbol: 
Rechecking for solution: 0
Report Id: 86106cff-20c0-4758-9507-b5c7a1672fbe
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:53 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_a31f325b-aff5-42a8-aab2-a0c5f93f1310

Analysis symbol: 
Rechecking for solution: 0
Report Id: 86106cff-20c0-4758-9507-b5c7a1672fbe
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:52 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x428c
Faulting application start time: 0x01dcd723fd952de2
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: 86106cff-20c0-4758-9507-b5c7a1672fbe
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:30:44 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERC33A.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_843267c9-b4d9-4244-886d-b08e874cac44

Analysis symbol: 
Rechecking for solution: 0
Report Id: 54a7de1f-da42-4e28-b38a-794040a8c655
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:43 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_843267c9-b4d9-4244-886d-b08e874cac44

Analysis symbol: 
Rechecking for solution: 0
Report Id: 54a7de1f-da42-4e28-b38a-794040a8c655
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:42 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x23f0
Faulting application start time: 0x01dcd723f79ec9ff
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: 54a7de1f-da42-4e28-b38a-794040a8c655
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:30:33 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER9B7E.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_68f19b7a-ddc5-42ea-9c8a-446b86e01c75

Analysis symbol: 
Rechecking for solution: 0
Report Id: eabc4006-6189-4ceb-9438-6bd8f6b85ccd
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:33 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_68f19b7a-ddc5-42ea-9c8a-446b86e01c75

Analysis symbol: 
Rechecking for solution: 0
Report Id: eabc4006-6189-4ceb-9438-6bd8f6b85ccd
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:32 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x1300
Faulting application start time: 0x01dcd723f1a6275b
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: eabc4006-6189-4ceb-9438-6bd8f6b85ccd
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:30:24 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER74AC.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_499f32cc-3746-48f1-bc0e-f89144cc8732

Analysis symbol: 
Rechecking for solution: 0
Report Id: 308e6e16-58a3-494d-88d3-e8c251edfc23
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:23 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_499f32cc-3746-48f1-bc0e-f89144cc8732

Analysis symbol: 
Rechecking for solution: 0
Report Id: 308e6e16-58a3-494d-88d3-e8c251edfc23
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:22 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x9cc
Faulting application start time: 0x01dcd723ebafc9c5
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: 308e6e16-58a3-494d-88d3-e8c251edfc23
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:30:13 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER4D10.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_1ce0e489-41ba-4cc0-97d4-254fe941610c

Analysis symbol: 
Rechecking for solution: 0
Report Id: c6d93ed5-b55c-4460-bb11-e01b5e89caba
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:13 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_1ce0e489-41ba-4cc0-97d4-254fe941610c

Analysis symbol: 
Rechecking for solution: 0
Report Id: c6d93ed5-b55c-4460-bb11-e01b5e89caba
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:12 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x4650
Faulting application start time: 0x01dcd723e5b86ba3
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: c6d93ed5-b55c-4460-bb11-e01b5e89caba
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:30:03 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER24B8.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_cb705180-29e2-4f30-ad3d-c73b81020226

Analysis symbol: 
Rechecking for solution: 0
Report Id: ae09f296-ab3f-401b-90be-85c807b1b0ca
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:30:02 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_cb705180-29e2-4f30-ad3d-c73b81020226

Analysis symbol: 
Rechecking for solution: 0
Report Id: ae09f296-ab3f-401b-90be-85c807b1b0ca
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:30:01 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x1be8
Faulting application start time: 0x01dcd723df2844a5
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: ae09f296-ab3f-401b-90be-85c807b1b0ca
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:29:23 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER8933.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_9dde0980-4c45-493a-af46-08edc7200fce

Analysis symbol: 
Rechecking for solution: 0
Report Id: c90da710-2bf1-495f-ba08-b5376aa8dade
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:29:23 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_9dde0980-4c45-493a-af46-08edc7200fce

Analysis symbol: 
Rechecking for solution: 0
Report Id: c90da710-2bf1-495f-ba08-b5376aa8dade
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:29:22 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x3e34
Faulting application start time: 0x01dcd723c7e29071
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: c90da710-2bf1-495f-ba08-b5376aa8dade
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:29:13 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER609C.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_e9347f31-44fa-41a5-bba6-17455ee3adfc

Analysis symbol: 
Rechecking for solution: 0
Report Id: 25b5cace-9728-4cdb-a271-82b0f7dc8a57
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:29:12 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_e9347f31-44fa-41a5-bba6-17455ee3adfc

Analysis symbol: 
Rechecking for solution: 0
Report Id: 25b5cace-9728-4cdb-a271-82b0f7dc8a57
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:29:11 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x2ca4
Faulting application start time: 0x01dcd723c1ead9cd
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: 25b5cace-9728-4cdb-a271-82b0f7dc8a57
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:29:03 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER3A29.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_f578799a-dca8-454b-8aa6-2a4eb341a9af

Analysis symbol: 
Rechecking for solution: 0
Report Id: e85ab260-3429-486b-be5e-dda468833631
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
Information,4/28/2026 10:29:02 AM,Windows Error Reporting,1001,None,"Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_f578799a-dca8-454b-8aa6-2a4eb341a9af

Analysis symbol: 
Rechecking for solution: 0
Report Id: e85ab260-3429-486b-be5e-dda468833631
Report Status: 4
Hashed bucket: 
Cab Guid: 0"
Error,4/28/2026 10:29:01 AM,Application Error,1000,(100),"Faulting application name: BarcodeReaderHelper.exe, version: 1.0.0.0, time stamp: 0xad514a8b
Faulting module name: KERNELBASE.dll, version: 10.0.19041.6280, time stamp: 0x56511854
Exception code: 0xc06d007e
Fault offset: 0x0000000000025369
Faulting process id: 0x36f0
Faulting application start time: 0x01dcd723bbf3bfec
Faulting application path: C:\Program Files\Milestone\MIPPlugins\BarcodeReader\BarcodeReaderHelper.exe
Faulting module path: C:\WINDOWS\System32\KERNELBASE.dll
Report Id: e85ab260-3429-486b-be5e-dda468833631
Faulting package full name: 
Faulting package-relative application ID: "
Information,4/28/2026 10:28:53 AM,Windows Error Reporting,1001,None,"Fault bucket 2165015242600625355, type 4
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: BarcodeReaderHelper.exe
P2: 1.0.0.0
P3: ad514a8b
P4: KERNELBASE.dll
P5: 10.0.19041.6280
P6: 56511854
P7: c06d007e
P8: 0000000000025369
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER12CB.tmp.WERInternalMetadata.xml

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_BarcodeReaderHel_7cb6fc442d1a0db5f601484acb4b4bcaba3153_db5819d2_93215edd-2fc7-4b69-83ee-0454e4e6a3a6

Analysis symbol: 
Rechecking for solution: 0
Report Id: 0101ef64-1211-4e57-9fa4-e756b2687568
Report Status: 268435456
Hashed bucket: 531fc4708de04b6e0e0bade4748434cb
Cab Guid: 0"
